"Common Name","Scientific Name","Model","Twig","Bark Texture"
"European beech","Fagus sylvatica","Fagaceae - Beech.seed.json","EuropeanBeechTwig","Beech60.jpg"
"Norway spruce","Picea abies","Pinaceae - Fir.seed.json","PacificSilverFirTwig","Fir70.jpg"
"Scots pine","Pinus sylvestris","Pinaceae - Scots pine.seed.json","ScotsPineTwig","Birch50.jpg"
"Silver fir","Abies alba","Pinaceae - Fir.seed.json","PacificSilverFirTwig","Fir70.jpg"
"European oak","Quercus robur","Fagaceae - European oak.seed.json","EuropeanOakTwig","NorthernRedOak60.jpg"
"Common ash","Fraxinus excelsior","Oleaceae - Ash.seed.json","OneLeavedAshTwig","Ash25.jpg"
"Downy birch","Betula pubescens","Betulaceae - Downy birch.seed.json","PaperBirchTwig","Birch16.jpg"
"Silver birch","Betula pendula","Betulaceae - Silver birch.seed.json","PaperBirchTwig","Birch15.jpg"
"Black alder","Alnus glutinosa","Betulaceae - Alder.seed.json","BlackAlderTwig","BlackAlder35.jpg"
"Hornbeam","Carpinus betulus","Betulaceae - Hornbeam.seed.json","HazelTwig","Birch30.jpg"
"Hazel","Corylus avellana","Betulaceae - Hazel.seed.json","HazelTwig","Birch30.jpg"
"Field maple","Acer campestre","Sapindaceae - Field maple.seed.json","FieldMapleTwig","MapleA60.jpg"
"Sycamore maple","Acer pseudoplatanus","Sapindaceae - Maple.seed.json","SycamoreMapleFallTwig","MapleB60.jpg"
"Small-leaved linden","Tilia cordata","Malvaceae - Linden.seed.json","SmallLeavedLindenTwig","LargeLeavedLinden60.jpg"
"Horse chestnut","Aesculus hippocastanum","Sapindaceae - Horse chestnut.seed.json","—","HorseChestnut15.jpg"
"Wild cherry","Prunus avium","Rosaceae - Wild cherry.seed.json","JapaneseCherryTwig","Birch15.jpg"
"Rowan / Mountain ash","Sorbus aucuparia","Rosaceae - Hawthorn.seed.json","OakLeafMountainAshTwig","OakLeafMountainAsh40.jpg"
"Willow","Salix alba","Salicaceae - Willow.seed.json","WhiteWillowTwig","Willow.jpg"
"Poplar","Populus spp.","Salicaceae - Grey poplar.seed.json","GreyPoplarTwig","GreyPoplar75.jpg"
"Elm","Ulmus spp.","Ulmaceae - Elm.seed.json","FieldElmTwig","Birch16.jpg"
"Wild apple","Malus sylvestris","Rosaceae - Wild apple.seed.json","WildAppleTwig","Birch16.jpg"
"Yew","Taxus baccata","Taxaceae - Yew.seed.json","—","Birch30.jpg"
