age,height,dbh,species_latin,region,management,site_index,source,table_id
10,4.368577971893853,7.138400637824145,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
15,6.567618912756229,10.903326467578266,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
20,8.679313609175324,14.476270240405734,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
25,10.655563549763547,17.809030479494233,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
30,12.477459400475153,20.886561328067195,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
35,14.140661150219644,23.70972213696455,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
40,15.64860298768084,26.28756763954267,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
45,17.008902651062947,28.63338854581339,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
50,18.23132004715542,30.762506798421697,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
55,19.326548035041352,32.69098913446683,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
60,20.305482792281463,34.434879462925416,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
65,21.178784138550323,36.00974045959807,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
70,21.956616899584567,37.43038644085835,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
75,22.648507605847197,38.71073752086484,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
80,23.263275403867798,39.8637517731388,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
85,23.809010731024056,40.90140778084715,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
90,24.29308440254985,41.834719529881895,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
95,24.72217557488278,42.67377164549509,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
100,25.10231085712217,43.42776690010206,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
105,25.438909382879213,44.10508052746193,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
110,25.736830374354618,44.71331764115135,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
115,26.000420906510193,45.25937126353892,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
120,26.23356238892446,45.74947930837442,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
125,26.43971484218183,46.18927944387397,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
130,26.62195843167254,46.58386117188612,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
135,26.78303198684032,46.93781474490966,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
140,26.925368414213718,47.25527674235623,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
145,27.05112703305215,47.53997226546814,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
150,27.162222940733223,47.79525380425545,Pinus nigra,DE-Central,modeled,1.0,parametric_models,Halaj_1987_austrian_pine
