age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,6.3,3.3,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,12.0
30,10.2,6.7,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,39.0
40,14.0,10.7,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,98.0
50,17.0,15.0,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,164.0
60,19.5,18.7,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,212.0
70,21.5,21.8,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,247.0
80,22.8,24.0,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,278.0
90,24.0,26.0,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,303.0
100,24.8,27.3,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,321.0
110,25.5,28.7,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,338.0
120,26.0,30.0,Fraxinus excelsior,DE,normal,2.0,forest_elements,fe_ash_wimmenauer_1919_29_si2,347.0
