age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,21.9,25.3,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,233
25,26.9,35.8,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,370
30,31.2,42.4,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,496
35,34.7,46.6,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,607
40,37.9,49.5,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,710
45,40.7,52.4,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,799
50,43.5,56.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,882
55,45.8,60.5,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,953
60,47.9,65.7,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1019
65,49.8,71.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1081
70,51.6,76.5,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1134
75,53.2,81.6,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1183
80,54.8,86.4,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1230
85,56.2,91.1,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1269
90,57.5,95.6,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1308
95,58.8,100.9,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1345
100,60.3,105.4,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1386
105,62.0,109.3,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1429
110,63.7,112.6,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1476
115,65.4,115.3,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1527
120,67.1,118.0,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1578
125,68.8,120.7,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1629
130,70.5,123.4,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1680
135,72.2,126.1,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1731
140,73.9,128.8,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1782
145,75.6,131.5,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1833
150,77.3,134.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1884
155,79.0,136.9,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1935
160,80.7,139.6,Pseudotsuga menziesii,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_dgl_bon-2,1986
