age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,5.3,4.4,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,0
25,8.4,7.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,26
30,11.4,9.9,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,66
35,13.9,12.6,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,106
40,16.2,15.5,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,149
45,18.3,18.3,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,192
50,20.2,20.8,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,232
55,21.7,23.0,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,271
60,23.0,24.8,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,310
65,24.3,26.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,347
70,25.4,27.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,384
75,26.4,28.1,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,418
80,27.2,28.7,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,451
85,28.0,29.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,484
90,28.7,29.7,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,516
95,29.4,29.9,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,544
100,30.0,30.5,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,575
105,30.5,31.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,603
110,31.0,32.0,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,628
115,31.5,32.6,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,654
120,31.9,33.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,680
125,32.3,33.8,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,706
130,32.7,34.4,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,732
135,33.1,35.0,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,758
140,33.5,35.6,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,784
145,33.9,36.2,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,810
150,34.3,36.8,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,836
155,34.7,37.4,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,862
160,35.1,38.0,Pseudotsuga menziesii,DE-NW,staggered_thinning,4.0,et_nwfva,nwfva_dgl_bon4,888
