age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,9.1,3.8,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,22
25,12.4,6.1,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,58
30,15.7,8.4,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,94
35,18.8,10.9,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,133
40,21.5,13.9,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,174
45,24.0,16.9,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,215
50,26.2,19.8,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,255
55,28.3,22.7,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,295
60,30.1,25.5,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,334
65,31.8,28.3,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,371
70,33.4,31.1,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,408
75,34.8,34.0,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,443
80,36.1,37.0,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,477
85,37.3,40.2,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,509
90,38.5,43.6,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,541
95,39.5,47.0,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,572
100,40.5,50.7,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,601
105,41.4,54.4,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,629
110,42.3,58.4,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,657
115,43.1,62.6,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,684
120,43.9,66.8,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,711
125,44.7,71.0,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,738
130,45.5,75.2,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,765
135,46.3,79.4,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,792
140,47.1,83.6,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,819
145,47.9,87.8,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,846
150,48.7,92.0,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,873
155,49.5,96.2,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,900
160,50.3,100.4,Fagus sylvatica,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_bu_bon-1,927
