age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,3.9,0.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,0
25,6.0,2.1,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,0
30,8.1,3.9,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,0
35,10.2,5.7,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,23
40,12.3,7.5,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,48
45,14.4,9.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,73
50,16.2,11.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,99
55,18.0,13.4,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,126
60,19.6,15.6,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,153
65,21.1,17.5,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,181
70,22.4,19.4,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,207
75,23.7,21.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,233
80,24.8,23.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,259
85,25.8,25.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,283
90,26.8,27.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,307
95,27.7,29.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,330
100,28.5,31.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,352
105,29.3,33.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,374
110,30.0,35.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,395
115,30.6,37.2,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,415
120,31.2,39.2,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,434
125,31.8,41.1,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,453
130,32.3,43.0,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,471
135,32.8,45.0,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,488
140,33.3,47.0,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,505
145,33.7,49.1,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,521
150,34.1,51.2,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,537
155,34.5,53.3,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,553
160,34.9,55.4,Fagus sylvatica,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_bu_bon2,569
