age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,7.8,4.2,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,12.0
25,10.0,6.5,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,36.0
30,12.6,8.9,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,78.0
35,14.1,10.7,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,114.0
40,15.6,12.5,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,142.0
45,17.1,14.3,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,166.0
50,18.4,16.1,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,189.0
55,19.5,17.8,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,211.0
60,20.5,19.5,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,232.0
65,21.4,21.3,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,252.0
70,22.3,23.2,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,270.0
75,23.1,25.0,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,287.0
80,23.8,26.8,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,303.0
85,24.5,28.6,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,317.0
90,25.0,30.5,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,329.0
95,25.5,32.3,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,339.0
100,26.0,34.0,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,349.0
105,26.5,35.9,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,359.0
110,27.1,37.8,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,368.0
115,27.6,39.6,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,377.0
120,28.1,41.4,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,385.0
125,28.6,43.2,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,395.0
130,29.1,45.0,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,403.0
135,29.6,46.8,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,411.0
140,30.0,48.7,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,419.0
145,30.4,50.5,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,427.0
150,30.9,52.3,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,436.0
155,31.3,54.1,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,444.0
160,31.7,55.9,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,451.0
165,32.1,57.7,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,459.0
170,32.6,59.5,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,467.0
175,33.0,61.3,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,475.0
180,33.4,63.2,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,482.0
185,33.6,65.0,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,487.0
190,33.8,66.8,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,491.0
195,34.0,68.4,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,495.0
200,34.2,70.0,Quercus robur,DE,moderate_thinning,1.0,forest_elements,fe_oak_juettner_moderate_1955_si1,499.0
