age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,13.6,9.2,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,72
25,16.1,11.6,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,109
30,18.2,13.9,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,144
35,20.1,16.2,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,178
40,21.8,18.4,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,209
45,23.3,20.6,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,238
50,24.6,22.8,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,264
55,25.8,24.9,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,289
60,26.9,27.0,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,312
65,27.9,29.1,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,333
70,28.8,31.1,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,352
75,29.6,33.2,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,370
80,30.4,35.2,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,386
85,31.1,37.2,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,402
90,31.8,39.1,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,416
95,32.4,41.1,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,429
100,33.0,43.1,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,441
105,33.5,45.0,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,453
110,34.1,46.9,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,464
115,34.5,48.8,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,474
120,35.0,50.7,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,483
125,35.4,52.6,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,492
130,35.8,54.5,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,500
135,36.2,56.3,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,508
140,36.6,58.2,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,515
145,36.9,60.0,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,522
150,37.2,61.9,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,529
155,37.6,63.7,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,535
160,37.9,65.5,Quercus robur,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_ei_bon-1,541
