age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,6.1,3.7,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,0
25,7.3,5.5,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,0
30,8.5,7.3,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,7
35,9.7,9.1,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,23
40,10.9,10.9,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,39
45,12.1,12.7,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,55
50,13.2,14.4,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,72
55,14.3,16.2,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,89
60,15.2,17.9,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,107
65,16.1,19.6,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,124
70,17.0,21.3,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,140
75,17.7,23.0,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,157
80,18.5,24.7,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,172
85,19.2,26.4,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,187
90,19.8,28.1,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,202
95,20.4,29.8,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,216
100,21.0,31.5,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,229
105,21.5,33.2,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,241
110,22.1,34.8,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,253
115,22.6,36.5,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,265
120,23.0,38.1,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,276
125,23.5,39.8,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,286
130,23.9,41.4,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,296
135,24.3,43.1,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,305
140,24.7,44.7,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,314
145,25.0,46.3,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,322
150,25.4,48.0,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,330
155,25.7,49.6,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,338
160,26.0,51.2,Quercus robur,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_ei_bon3,345
