age,height,dbh,species_latin,region,management,site_index,source,table_id
10,3.6898841714092065,6.112467104113368,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
15,5.332879165348868,9.057845425494412,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
20,6.8668950030137585,11.802167834262253,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
25,8.274725667601146,14.337121912701729,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
30,9.553852045335896,16.666855537285958,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
35,10.708459387985608,18.800892667541905,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
40,11.7459075721508,20.751115556820217,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
45,12.674955776596699,22.530286413773858,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
50,13.504806078223158,24.151265833436444,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
55,14.244572277287704,25.626584835696875,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
60,14.90298554864548,26.968210797158587,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
65,15.488238184594897,28.187425470347037,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
70,16.007910142701974,29.294770087940748,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
75,16.468945888880718,30.300031414468872,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
80,16.87766172047422,31.21225292104032,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
85,17.239771178802254,32.03976119650394,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
90,17.560420672101465,32.79020127426418,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
95,17.84423025475264,33.47057677031552,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
100,18.095336319423154,34.08729214482426,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
105,18.317434139970334,34.6461953259906,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
110,18.51381898311085,35.15261955163969,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
115,18.68742502598177,35.61142370016162,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
120,18.840861662970973,36.0270306659302,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
125,18.976447015400236,36.403463528492146,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
130,19.096238609149236,36.74437939789375,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
135,19.202061283071025,37.05310090931027,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
140,19.295532451980414,37.33264540140061,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
145,19.378084883685812,37.58575185327874,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
150,19.45098716799503,37.81490568077129,Acer campestre,DE-Central,modeled,1.0,parametric_models,Nagel_1999_minor_broadleaves
