age,height,dbh,species_latin,region,management,site_index,source,table_id
10,7.220572411777206,9.993760892953803,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
15,11.244253405413495,15.264657054609572,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
20,15.103637966858019,20.266778336568027,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
25,18.681313540931217,24.932642671291923,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
30,21.93273806344192,29.241185859294074,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
35,24.849886274361893,33.19361099175037,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
40,27.443815868234246,36.80259469535974,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
45,29.735352138657053,40.08674396413874,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
50,31.749824078437314,43.06750951779038,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
55,33.51401613056441,45.767384788253565,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
60,35.05440345390276,48.208831248095585,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
65,36.396157752904614,50.4136366434373,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
70,37.56262504045152,52.402541017201685,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
75,38.575094453984526,54.19503252921078,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
80,39.45274553129246,55.80925248239432,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
85,40.212702602359386,57.26197089318601,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
90,40.870150649215645,58.56860734183465,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
95,41.43848336092855,59.74328030369312,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
100,41.929464718043306,60.798873660142874,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
105,42.35339238620679,61.747112738446695,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
110,42.719255772819544,62.59864469761188,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
115,43.03488461554313,63.36311976895448,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
120,43.30708594990131,64.04927103172419,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
125,43.54176858731429,64.66499122142356,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
130,43.74405505209048,65.21740564064056,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
135,43.918381428926516,65.71294064287352,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
140,44.06858586480558,66.15738743929873,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
145,44.19798662131901,66.55596117165538,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
150,44.309450633526,66.91335532595762,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
155,44.40545353243664,67.23379164903164,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
160,44.488132052511695,67.52106578541633,Abies grandis,EU-West,modeled,1.0,parametric_models,Hein_2009_grand_fir_europe
