age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
5,8.0,,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,
10,14.0,14.0,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,64.0
15,22.0,24.0,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,156.0
20,29.0,33.0,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,198.0
25,34.0,42.1,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,198.0
30,36.0,51.0,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,308.0
35,38.0,59.0,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,436.0
40,39.0,66.0,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,574.0
45,39.5,73.0,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,710.0
50,40.0,80.0,Populus x canescens,DE,normal,1.0,forest_elements,fe_poplar_blume_1949_si1,865.0
