age,height,dbh,species_latin,region,management,site_index,source,table_id
10,4.017051778733228,6.87652549212754,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
15,5.8285590797436235,10.190076103681214,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
20,7.519909875117734,13.277438813545036,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
25,9.07213342838075,16.129262151789444,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
30,10.482452255113936,18.750212479446702,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
35,11.75548086367644,21.151004250984645,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
40,12.899333989807293,23.345005001422745,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
45,13.923669189580975,25.34657221549559,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
50,14.838632342656302,27.170174062616,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
55,15.654271998035162,28.829907940158982,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
60,16.380214835686044,30.33923714680341,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
65,17.025493383014886,31.710853654140415,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
70,17.598465029132942,32.95661634893334,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
75,18.106786492868487,34.08753534127748,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
80,18.55742189693311,35.11378453617036,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
85,18.956670786884537,36.04473134606693,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
90,19.31020740770162,36.8889764335472,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
95,19.623125665496502,37.65439886660496,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
100,19.89998619833835,38.34820366292729,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
105,20.144863282531396,38.97696974173942,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
110,20.361390160865806,39.546696995594644,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
115,20.55280195172349,40.06285166268183,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
120,20.721975679685944,40.530409499171476,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
125,20.871467222107952,40.95389646955367,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
130,21.003545133164543,41.33742682263047,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
135,21.120221414668055,41.68473852297405,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
140,21.22327937013225,41.99922607657569,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
145,21.31429871791,42.28397083493858,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
150,21.394678159584267,42.5417688908677,Carpinus betulus,DE-Central,modeled,1.0,parametric_models,Lockow_1998_hornbeam_growth
