age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,5.55,,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,
25,7.15,,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,
30,9.0,7.3,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,95.0
35,10.75,9.2,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,151.0
40,12.55,11.1,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,210.0
45,14.35,13.1,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,267.0
50,16.15,15.0,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,322.0
55,17.95,16.9,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,376.0
60,19.6,18.8,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,427.0
65,21.25,20.7,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,475.0
70,22.85,22.6,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,521.0
75,24.2,24.4,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,561.0
80,25.55,26.3,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,601.0
85,26.75,28.1,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,636.0
90,27.9,29.8,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,669.0
95,29.05,31.5,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,698.0
100,30.05,33.1,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,723.0
105,30.9,34.6,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,748.0
110,31.75,36.0,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,768.0
115,32.45,37.3,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,782.0
120,33.15,38.5,Picea abies,DE,normal,2.5,forest_elements,fe_spruce_vanselow_1951_si2.5,794.0
