age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,13.6,14.2,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,144
25,17.5,20.0,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,212
30,21.1,24.9,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,280
35,24.3,27.8,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,349
40,27.1,30.3,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,417
45,29.6,33.1,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,482
50,31.8,36.0,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,546
55,33.7,38.6,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,607
60,35.3,40.8,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,666
65,36.8,42.8,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,722
70,38.0,44.7,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,775
75,39.1,46.3,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,827
80,40.2,47.9,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,879
85,41.3,49.5,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,931
90,42.4,51.1,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,983
95,43.5,52.7,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1035
100,44.6,54.3,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1087
105,45.7,55.9,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1139
110,46.8,57.5,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1191
115,47.9,59.1,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1243
120,49.0,60.7,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1295
125,50.1,62.3,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1347
130,51.2,63.9,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1399
135,52.3,65.5,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1451
140,53.4,67.1,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1503
145,54.5,68.7,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1555
150,55.6,70.3,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1607
155,56.7,71.9,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1659
160,57.8,73.5,Picea abies,DE-NW,staggered_thinning,-1.0,et_nwfva,nwfva_fi_bon-1,1711
