age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,3.7,1.7,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,0
25,5.6,3.8,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,0
30,7.5,5.9,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,10
35,9.4,8.0,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,44
40,11.3,10.1,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,78
45,13.2,12.2,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,112
50,15.0,14.4,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,147
55,16.7,16.5,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,184
60,18.3,18.4,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,219
65,19.7,20.0,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,254
70,21.1,21.4,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,287
75,22.3,22.8,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,319
80,23.4,24.0,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,348
85,24.4,25.2,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,375
90,25.4,26.3,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,401
95,26.2,27.6,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,424
100,27.0,29.1,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,445
105,27.7,30.6,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,465
110,28.4,32.3,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,483
115,29.0,34.3,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,500
120,29.5,36.5,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,515
125,30.0,38.7,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,530
130,30.5,40.9,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,545
135,31.0,43.1,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,560
140,31.5,45.3,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,575
145,32.0,47.5,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,590
150,32.5,49.7,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,605
155,33.0,51.9,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,620
160,33.5,54.1,Picea abies,DE-NW,staggered_thinning,3.0,et_nwfva,nwfva_fi_bon3,635
