age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
30,12.45,10.9,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,66.0
35,14.3,13.2,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,93.0
40,15.95,15.6,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,118.0
45,17.4,17.9,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,143.0
50,18.75,20.1,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,167.0
55,19.95,22.3,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,190.0
60,21.1,24.6,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,211.0
65,22.1,26.7,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,232.0
70,23.05,28.9,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,252.0
75,23.85,31.0,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,271.0
80,24.6,33.1,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,289.0
85,25.2,35.2,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,306.0
90,25.75,37.2,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,322.0
95,26.15,39.2,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,337.0
100,26.5,41.2,Quercus rubra,DE,normal,2.5,forest_elements,fe_redoak_bauer_1955_si2.5,352.0
