age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
30,4.8,5.2,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,10.0
35,5.8,6.4,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,29.0
40,6.75,7.6,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,48.0
45,7.65,8.7,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,67.0
50,8.5,9.9,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,86.0
55,9.35,10.9,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,104.0
60,10.1,11.9,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,120.0
65,10.85,12.9,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,135.0
70,11.5,13.8,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,148.0
75,12.1,14.7,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,160.0
80,12.65,15.6,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,169.0
85,13.15,16.5,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,178.0
90,13.6,17.3,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,184.0
95,14.05,18.1,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,189.0
100,14.4,18.9,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,193.0
105,14.75,19.7,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,194.0
110,15.05,20.4,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,195.0
115,15.35,21.2,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,194.0
120,15.6,21.9,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,192.0
125,15.85,22.7,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,189.0
130,16.05,23.4,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,184.0
135,16.25,24.1,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,179.0
140,16.45,24.8,Pinus sylvestris,DE,moderate_thinning,4.5,forest_elements,fe_pine_wiedemann_moderate_1943_si4.5,174.0
