age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,15.0,12.5,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,130
25,17.9,16.8,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,177
30,20.7,21.0,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,223
35,23.2,26.2,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,264
40,25.5,30.2,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,306
45,27.6,33.3,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,345
50,29.6,35.9,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,381
55,31.2,38.3,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,415
60,32.9,40.6,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,448
65,34.3,42.8,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,479
70,35.4,44.6,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,510
75,36.7,46.6,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,537
80,37.8,48.3,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,564
85,38.6,49.8,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,589
90,39.5,51.2,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,614
95,40.4,52.7,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,641
100,41.4,54.3,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,668
105,42.5,55.9,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,696
110,43.6,57.6,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,724
115,44.7,59.3,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,754
120,45.9,61.1,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,784
125,47.1,62.9,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,814
130,48.3,64.7,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,844
135,49.5,66.5,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,874
140,50.7,68.3,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,904
145,51.9,70.1,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,934
150,53.1,71.9,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,964
155,54.3,73.7,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,994
160,55.5,75.5,Pinus sylvestris,DE-NW,staggered_thinning,-2.0,et_nwfva,nwfva_ki_bon-2,1024
