age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,8.3,4.9,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,57
25,9.9,6.8,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,81
30,11.5,8.7,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,105
35,13.1,10.6,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,129
40,14.6,12.4,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,151
45,16.0,14.3,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,172
50,17.2,16.1,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,192
55,18.4,17.8,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,210
60,19.4,19.6,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,228
65,20.4,21.4,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,244
70,21.2,23.0,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,260
75,22.0,24.5,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,275
80,22.7,25.9,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,290
85,23.4,27.2,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,304
90,24.0,28.3,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,317
95,24.5,29.3,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,330
100,25.0,30.3,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,342
105,25.4,31.2,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,354
110,25.8,32.0,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,365
115,26.2,32.8,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,376
120,26.5,33.5,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,386
125,26.8,34.2,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,396
130,27.1,34.9,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,406
135,27.4,35.6,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,416
140,27.7,36.3,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,426
145,28.0,37.0,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,436
150,28.3,37.7,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,446
155,28.6,38.4,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,456
160,28.9,39.1,Pinus sylvestris,DE-NW,staggered_thinning,2.0,et_nwfva,nwfva_ki_bon2,466
