age,height,dbh,species_latin,region,management,site_index,source,table_id
10,4.42612035080328,7.565054213610144,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
15,6.496829557168046,11.267311611271957,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
20,8.461948632223153,14.753058406901223,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
25,10.294966763721828,18.006636014652038,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
30,11.987608730436959,21.028130825349436,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
35,13.540347175330503,23.824766250111626,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
40,14.958162201748468,26.407205403017354,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
45,16.248363700197363,28.787710510821373,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
50,17.419378739131933,30.97914381893905,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
55,18.480044023956758,32.99439757021328,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
60,19.43918370460898,34.84606137495333,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
65,20.30535725277894,36.54622878563418,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
70,21.086712542472092,38.10638895443205,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
75,21.790905636475664,39.5373717992467,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
80,22.42506347522634,40.8493274191856,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
85,22.99577427946593,42.05172759267316,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
90,23.50909574143504,43.15338145745752,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
95,23.970574405022298,44.16246013250478,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
100,24.38527179505613,45.086526752113244,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
105,24.75779429010406,45.93256951009698,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
110,25.09232470263324,46.70703607094114,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
115,25.392654194946402,47.4158682247249,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
120,25.66221361960593,48.06453602368463,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
125,25.904103694130683,48.65807089178915,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
130,26.121123644537366,49.201097378071516,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
135,26.315798109700314,49.69786335199633,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
140,26.49040220829593,50.15226852996798,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
145,26.646984746007472,50.5678912866425,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
150,26.787389592340496,50.94801375030161,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
155,26.913275290691004,51.29564521336464,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
160,27.02613298712784,51.613543910870824,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
165,27.127302776240846,51.904237234154024,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
170,27.21798856893955,52.17004045592139,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
175,27.29927158913666,52.41307404798868,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
180,27.37212260518609,52.63527967508714,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
185,27.437412998767023,52.838434948241805,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
190,27.495924769344274,53.02416701982312,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
195,27.54835956692274,53.1939650999398,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
200,27.595346839935257,53.34919197070526,Tilia cordata,DE-Central,modeled,1.0,parametric_models,Nagel_1999_linden
