age,height,dbh,species_latin,region,management,site_index,source,table_id
10,6.0566847232657155,10.315983018559287,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
15,9.215307165595311,15.364515833552668,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
20,12.248468638633648,20.117806918501667,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
25,15.08708218966037,24.554503656343687,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
30,17.70398713886431,28.67472385274923,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
35,20.092949652133672,32.48831761378858,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
40,22.2589024732143,36.009825549569115,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
45,24.21278744425405,39.25596887839278,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
50,25.968623340459605,42.244287025825976,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
55,27.541768995786672,44.99236032301811,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
60,28.94787528345883,47.517356420390904,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
65,30.20225358082683,49.83576652586479,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
70,31.31950427394874,51.96325766513461,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
75,32.313310924762334,53.914597908063676,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
80,33.19634103464647,55.703628298889456,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
85,33.980215413652736,57.343264899099765,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
90,34.675521232753425,58.845520169260254,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
95,35.29185218937708,60.22153654432471,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
100,35.83786468568457,61.48162738924533,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
105,36.3213425681356,62.635322059223164,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
110,36.749265446800266,63.69141282401065,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
115,37.127877302078275,64.65800212462487,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
120,37.46275324954605,65.54254912320631,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
125,37.75886313695208,66.35191485243975,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
130,38.02063120185692,67.09240551555206,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
135,38.25199139927973,67.76981366181319,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
140,38.456438267688796,68.38945708631996,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
145,38.63707337474763,68.95621539087614,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
150,38.79664749668954,69.47456420495675,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
155,38.93759875494664,69.94860710913359,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
160,39.062086973458335,70.38210533300567,Thuja plicata,EU-West,modeled,1.0,parametric_models,Christie_FC_yield_western_redcedar
