age,height,dbh,species_latin,region,management,site_index,source,table_id
20.0,12.5,12.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
25.0,15.1,15.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
30.0,17.5,17.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
35.0,19.5,19.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
40.0,21.0,22.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
45.0,22.2,25.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
50.0,23.1,28.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
55.0,23.7,31.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
60.0,24.1,34.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
65.0,24.3,37.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
70.0,24.5,41.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
75.0,24.6,45.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
80.0,24.7,49.0,Prunus avium,UK,normal,1.0,pryor_cherry,FC_B75_t1
