# Root UV coordinates (u, v)
0: (0.375, 0.0)
1: (0.5625, 0.0)
2: (0.4, 19.794896047054454)
3: (0.2, 19.794896047054454)
4: (0.5625, 0.0)
5: (0.75, 0.0)
6: (0.6000000000000001, 19.794896047054454)
7: (0.4, 19.794896047054454)
8: (0.75, 0.0)
9: (0.9375, 0.0)
10: (0.8, 19.794896047054454)
11: (0.6000000000000001, 19.794896047054454)
12: (0.9375, 0.0)
13: (1.125, 0.0)
14: (1.0, 19.794896047054454)
15: (0.8, 19.794896047054454)
16: (1.125, 0.0)
17: (1.3125, 0.0)
18: (1.2000000000000002, 19.794896047054454)
19: (1.0, 19.794896047054454)
20: (1.3125, 0.0)
21: (1.5, 0.0)
22: (1.4, 19.794896047054454)
23: (1.2000000000000002, 19.794896047054454)
24: (1.5, 0.0)
25: (1.6875, 0.0)
26: (1.6, 19.794896047054454)
27: (1.4, 19.794896047054454)
28: (1.6875, 0.0)
29: (1.875, 0.0)
30: (1.7999999999999998, 19.794896047054454)
31: (1.6, 19.794896047054454)
32: (1.875, 0.0)
33: (2.0625, 0.0)
34: (2.0, 19.794896047054454)
35: (1.7999999999999998, 19.794896047054454)
36: (2.0625, 0.0)
37: (2.25, 0.0)
38: (2.1999999999999997, 19.794896047054454)
39: (2.0, 19.794896047054454)
40: (2.25, 0.0)
41: (2.4375, 0.0)
42: (2.4000000000000004, 19.794896047054454)
43: (2.1999999999999997, 19.794896047054454)
44: (2.4375, 0.0)
45: (2.625, 0.0)
46: (2.6, 19.794896047054454)
47: (2.4000000000000004, 19.794896047054454)
48: (2.625, 0.0)
49: (2.8125, 0.0)
50: (2.8, 19.794896047054454)
51: (2.6, 19.794896047054454)
52: (2.8125, 0.0)
53: (3.0, 0.0)
54: (3.0, 19.794896047054454)
55: (2.8, 19.794896047054454)
56: (0.1875, 0.0)
57: (0.375, 0.0)
58: (0.20000000000000018, 19.794896047054454)
59: (0.0, 19.794896047054454)
60: (0.0, 0.0)
61: (0.1875, 0.0)
62: (0.0, 19.794896047054454)
63: (0.4, 19.794896047054454)
64: (0.6000000000000001, 19.794896047054454)
65: (0.42857142857142855, 39.689263933541326)
66: (0.21428571428571427, 39.689263933541326)
67: (0.6000000000000001, 19.794896047054454)
68: (0.8, 19.794896047054454)
69: (0.6428571428571428, 39.689263933541326)
70: (0.42857142857142855, 39.689263933541326)
71: (0.8, 19.794896047054454)
72: (1.0, 19.794896047054454)
73: (0.8571428571428571, 39.689263933541326)
74: (0.6428571428571428, 39.689263933541326)
75: (1.0, 19.794896047054454)
76: (1.2000000000000002, 19.794896047054454)
77: (1.0714285714285712, 39.689263933541326)
78: (0.8571428571428571, 39.689263933541326)
79: (1.2000000000000002, 19.794896047054454)
80: (1.4, 19.794896047054454)
