# UV coordinates (u, v)
0: (0.1875, 1.432394487827058)
1: (0.375, 1.432394487827058)
2: (0.375, 0.0)
3: (0.1875, 1.432394487827058)
4: (0.375, 0.0)
5: (0.1875, 0.0)
6: (0.375, 1.432394487827058)
7: (0.5625, 1.432394487827058)
8: (0.5625, 0.0)
9: (0.375, 1.432394487827058)
10: (0.5625, 0.0)
11: (0.375, 0.0)
12: (0.5625, 1.432394487827058)
13: (0.75, 1.432394487827058)
14: (0.75, 0.0)
15: (0.5625, 1.432394487827058)
16: (0.75, 0.0)
17: (0.5625, 0.0)
18: (0.75, 1.432394487827058)
19: (0.9375, 1.432394487827058)
20: (0.9375, 0.0)
21: (0.75, 1.432394487827058)
22: (0.9375, 0.0)
23: (0.75, 0.0)
24: (0.9375, 1.432394487827058)
25: (1.125, 1.432394487827058)
26: (1.125, 0.0)
27: (0.9375, 1.432394487827058)
28: (1.125, 0.0)
29: (0.9375, 0.0)
30: (1.125, 1.432394487827058)
31: (1.3125, 1.432394487827058)
32: (1.3125, 0.0)
33: (1.125, 1.432394487827058)
34: (1.3125, 0.0)
35: (1.125, 0.0)
36: (1.3125, 1.432394487827058)
37: (1.5, 1.432394487827058)
38: (1.5, 0.0)
39: (1.3125, 1.432394487827058)
40: (1.5, 0.0)
41: (1.3125, 0.0)
42: (1.5, 1.432394487827058)
43: (1.6875, 1.432394487827058)
44: (1.6875, 0.0)
45: (1.5, 1.432394487827058)
46: (1.6875, 0.0)
47: (1.5, 0.0)
48: (1.6875, 1.432394487827058)
49: (1.875, 1.432394487827058)
50: (1.875, 0.0)
51: (1.6875, 1.432394487827058)
52: (1.875, 0.0)
53: (1.6875, 0.0)
54: (1.875, 1.432394487827058)
55: (2.0625, 1.432394487827058)
56: (2.0625, 0.0)
57: (1.875, 1.432394487827058)
58: (2.0625, 0.0)
59: (1.875, 0.0)
60: (2.0625, 1.432394487827058)
61: (2.25, 1.432394487827058)
62: (2.25, 0.0)
63: (2.0625, 1.432394487827058)
64: (2.25, 0.0)
65: (2.0625, 0.0)
66: (2.25, 1.432394487827058)
67: (2.4375, 1.432394487827058)
68: (2.4375, 0.0)
69: (2.25, 1.432394487827058)
70: (2.4375, 0.0)
71: (2.25, 0.0)
72: (2.4375, 1.432394487827058)
73: (2.625, 1.432394487827058)
74: (2.625, 0.0)
75: (2.4375, 1.432394487827058)
76: (2.625, 0.0)
77: (2.4375, 0.0)
78: (2.625, 1.432394487827058)
79: (2.8125, 1.432394487827058)
80: (2.8125, 0.0)
81: (2.625, 1.432394487827058)
82: (2.8125, 0.0)
83: (2.625, 0.0)
84: (2.8125, 1.432394487827058)
85: (3.0, 1.432394487827058)
86: (3.0, 0.0)
87: (2.8125, 1.432394487827058)
88: (3.0, 0.0)
89: (2.8125, 0.0)
90: (0.0, 1.432394487827058)
91: (0.1875, 1.432394487827058)
92: (0.1875, 0.0)
93: (0.0, 1.432394487827058)
94: (0.1875, 0.0)
95: (0.0, 0.0)
96: (0.1875, 2.864788975654116)
97: (0.375, 2.864788975654116)
98: (0.375, 1.432394487827058)
99: (0.1875, 2.864788975654116)
100: (0.375, 1.432394487827058)
101: (0.1875, 1.432394487827058)
102: (0.375, 2.864788975654116)
103: (0.5625, 2.864788975654116)
104: (0.5625, 1.432394487827058)
105: (0.375, 2.864788975654116)
106: (0.5625, 1.432394487827058)
107: (0.375, 1.432394487827058)
108: (0.5625, 2.864788975654116)
109: (0.75, 2.864788975654116)
110: (0.75, 1.432394487827058)
111: (0.5625, 2.864788975654116)
112: (0.75, 1.432394487827058)
113: (0.5625, 1.432394487827058)
114: (0.75, 2.864788975654116)
115: (0.9375, 2.864788975654116)
116: (0.9375, 1.432394487827058)
117: (0.75, 2.864788975654116)
118: (0.9375, 1.432394487827058)
119: (0.75, 1.432394487827058)
120: (0.9375, 2.864788975654116)
121: (1.125, 2.864788975654116)
